Bay,Date,Month,Day,Year,J_date,set,Site,Species,Length,weight,hatch.wild,oto.read,hatch.site,freezer.num,origin.certain,Fultons.K
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,32,0.196,wild,n,.,.,y,0.60
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,32,0.2177,wild,n,.,.,y,0.66
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,32,0.2598,wild,n,.,.,y,0.79
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,32,0.2727,wild,n,.,.,y,0.83
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,32,0.2775,wild,n,.,.,y,0.85
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,32,0.3044,wild,n,.,.,y,0.93
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,32,0.3464,wild,n,.,.,y,1.06
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,32,0.2274,wild,n,.,.,y,0.69
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,32,0.2441,wild,n,.,.,y,0.74
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,32,0.2528,wild,n,.,.,y,0.77
Cook,6/12/2022,June,12,2022,163,375,Lam South,pink salmon,33,0.3537,wild,n,.,.,y,0.98
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,33,0.2004,wild,n,.,.,y,0.56
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,33,0.2541,wild,n,.,.,y,0.71
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,33,0.272,wild,n,.,.,y,0.76
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,33,0.2433,wild,n,.,.,y,0.68
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,33,0.2619,wild,n,.,.,y,0.73
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,33,0.2696,wild,n,.,.,y,0.75
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,33,0.2993,wild,n,.,.,y,0.83
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,33,0.2784,wild,n,.,.,y,0.77
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,33,0.4568,wild,n,.,.,y,1.27
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,33,0.2513,wild,n,.,.,y,0.70
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,33,0.2552,wild,n,.,.,y,0.71
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,33,0.2739,wild,n,.,.,y,0.76
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,33,0.2836,wild,n,.,.,y,0.79
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,33,0.2884,wild,n,.,.,y,0.80
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,33,0.3137,wild,n,.,.,y,0.87
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.1896,hatchery,n,Kitoi-KRAA,.,y,0.53
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.2023,hatchery,n,Kitoi-KRAA,.,y,0.56
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.2256,hatchery,n,Kitoi-KRAA,.,y,0.63
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.2307,hatchery,n,Kitoi-KRAA,.,y,0.64
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.241,hatchery,n,Kitoi-KRAA,.,y,0.67
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.2434,hatchery,n,Kitoi-KRAA,.,y,0.68
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.2581,hatchery,n,Kitoi-KRAA,.,y,0.72
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.2706,hatchery,n,Kitoi-KRAA,.,y,0.75
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,33,0.2815,hatchery,n,Kitoi-KRAA,.,y,0.78
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.1914,wild,n,.,.,y,0.53
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2054,wild,n,.,.,y,0.57
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2068,wild,n,.,.,y,0.58
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2162,wild,n,.,.,y,0.60
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2169,wild,n,.,.,y,0.60
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.2214,wild,n,.,.,y,0.62
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2256,wild,n,.,.,y,0.63
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2269,wild,n,.,.,y,0.63
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2276,wild,n,.,.,y,0.63
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2278,wild,n,.,.,y,0.63
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2307,wild,n,.,.,y,0.64
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2316,wild,n,.,.,y,0.64
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2343,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2345,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.2373,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2389,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2389,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.2391,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.24,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2487,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2537,wild,n,.,.,y,0.71
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2601,wild,n,.,.,y,0.72
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2613,wild,n,.,.,y,0.73
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2641,wild,n,.,.,y,0.73
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2649,wild,n,.,.,y,0.74
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2656,wild,n,.,.,y,0.74
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.2666,wild,n,.,.,y,0.74
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.2716,wild,n,.,.,y,0.76
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.2771,wild,n,.,.,y,0.77
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.2793,wild,n,.,.,y,0.78
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,33,0.2823,wild,n,.,.,y,0.79
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,33,0.2831,wild,n,.,.,y,0.79
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.3055,wild,n,.,.,y,0.85
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,33,0.3279,wild,n,.,.,y,0.91
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,33,0.299,wild,n,.,.,y,0.83
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,33,0.3044,wild,n,.,.,y,0.85
Kiliuda,5/12/2023,May,12,2023,132,462,Kil-2,pink salmon,33,0.2191,wild,n,.,.,y,0.61
Kiliuda,5/12/2023,May,12,2023,132,459,Kil-5,pink salmon,33,0.2312,wild,n,.,.,y,0.64
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,33,0.2473,wild,n,.,.,y,0.69
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,33,0.2637,wild,n,.,.,y,0.73
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,33,0.2668,wild,n,.,.,y,0.74
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,33,0.2756,wild,n,.,.,y,0.77
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,33,0.2785,wild,n,.,.,y,0.77
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,33,0.3034,wild,n,.,.,y,0.84
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,33,0.3289,wild,n,.,.,y,0.92
Cook,6/5/2023,June,5,2023,156,468,Lam North,pink salmon,34,0.3518,wild,y,.,23-005,y,0.90
Cook,6/5/2023,June,5,2023,156,467,EG West,pink salmon,34,0.3527,wild,y,.,23-002,y,0.90
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,34,0.2286,wild,n,.,.,y,0.58
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,34,0.2409,wild,n,.,.,y,0.61
Cook,5/19/2022,May,19,2022,139,354,EG South,pink salmon,34,0.2471,wild,n,.,.,y,0.63
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,34,0.28,wild,n,.,.,y,0.71
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,34,0.2945,wild,n,.,.,y,0.75
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,34,0.3121,wild,n,.,.,y,0.79
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,34,0.384,wild,n,.,.,y,0.98
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,34,0.3052,wild,n,.,.,y,0.78
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,34,0.3558,wild,n,.,.,y,0.91
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,34,0.3687,wild,n,.,.,y,0.94
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,34,0.3903,wild,n,.,.,y,0.99
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,34,0.4159,wild,n,.,.,y,1.06
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,34,0.2992,wild,n,.,.,y,0.76
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,34,0.3055,wild,n,.,.,y,0.78
Kiliuda,5/24/2022,May,24,2022,144,366,Kil-4,pink salmon,34,0.3166,wild,n,.,.,y,0.81
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,34,0.2768,hatchery,n,Kitoi-KRAA,.,y,0.70
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,34,0.2864,hatchery,n,Kitoi-KRAA,.,y,0.73
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,34,0.2872,hatchery,n,Kitoi-KRAA,.,y,0.73
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,34,0.3011,hatchery,n,Kitoi-KRAA,.,y,0.77
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,34,0.3271,hatchery,n,Kitoi-KRAA,.,y,0.83
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2179,wild,n,.,.,y,0.55
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2204,wild,n,.,.,y,0.56
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2265,wild,n,.,.,y,0.58
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2288,wild,n,.,.,y,0.58
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2306,wild,n,.,.,y,0.59
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2338,wild,n,.,.,y,0.59
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2391,wild,n,.,.,y,0.61
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2396,wild,n,.,.,y,0.61
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.24,wild,n,.,.,y,0.61
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2405,wild,n,.,.,y,0.61
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2438,wild,n,.,.,y,0.62
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2446,wild,n,.,.,y,0.62
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2465,wild,n,.,.,y,0.63
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2472,wild,n,.,.,y,0.63
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2495,wild,n,.,.,y,0.63
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2505,wild,n,.,.,y,0.64
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2514,wild,n,.,.,y,0.64
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2545,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.255,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2567,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2575,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2592,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2595,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2602,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2603,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2611,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2624,wild,n,.,.,y,0.67
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2684,wild,n,.,.,y,0.68
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2718,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2723,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2759,wild,n,.,.,y,0.70
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2769,wild,n,.,.,y,0.70
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,34,0.2809,wild,n,.,.,y,0.71
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.2812,wild,n,.,.,y,0.72
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,34,0.2828,wild,n,.,.,y,0.72
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.288,wild,n,.,.,y,0.73
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.3091,wild,n,.,.,y,0.79
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,34,0.3341,wild,n,.,.,y,0.85
Chief Cove,5/11/2023,May,11,2023,131,456,CH-3,pink salmon,34,0.2226,wild,n,.,.,y,0.57
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,34,0.234,wild,n,.,.,y,0.60
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,34,0.2701,wild,n,.,.,y,0.69
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,34,0.2934,wild,n,.,.,y,0.75
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,34,0.3892,wild,n,.,.,y,0.99
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,34,0.4536,wild,n,.,.,y,1.15
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.2328,wild,n,.,.,y,0.59
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.2501,wild,n,.,.,y,0.64
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.266,wild,n,.,.,y,0.68
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.2712,wild,n,.,.,y,0.69
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.277,wild,n,.,.,y,0.70
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.2892,wild,n,.,.,y,0.74
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.2926,wild,n,.,.,y,0.74
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.2974,wild,n,.,.,y,0.76
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,34,0.3227,wild,n,.,.,y,0.82
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,35,0.2927,wild,n,.,.,y,0.68
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,35,0.2993,wild,n,.,.,y,0.70
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,35,0.3065,wild,n,.,.,y,0.71
Cook,5/19/2022,May,19,2022,139,353,Lam South,pink salmon,35,0.3563,wild,n,.,.,y,0.83
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,35,0.3624,wild,n,.,.,y,0.85
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,35,0.3175,wild,n,.,.,y,0.74
Chief Cove,5/22/2022,May,22,2022,142,360,CH-2,pink salmon,35,0.3381,wild,n,.,.,y,0.79
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,35,0.3912,wild,n,.,.,y,0.91
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,35,0.4056,wild,n,.,.,y,0.95
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,35,0.3299,wild,n,.,.,y,0.77
Kiliuda,5/24/2022,May,24,2022,144,366,Kil-4,pink salmon,35,0.3608,wild,n,.,.,y,0.84
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,35,0.3616,wild,n,.,.,y,0.84
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.286,hatchery,n,Kitoi-KRAA,.,y,0.67
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.2943,hatchery,n,Kitoi-KRAA,.,y,0.69
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.2999,hatchery,n,Kitoi-KRAA,.,y,0.70
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,35,0.3023,hatchery,n,Kitoi-KRAA,.,y,0.71
